name,suburb,cuisine,price
PST — Pizza Studio Tamaki,Sydney CBD,Pizza,$$
L'Antica Pizzeria da Michele,Sydney CBD,Pizza,$$
1915 Lanzhou Beef Noodles,Sydney CBD,Lanzhou noodles,$
Mensho Tokyo,Sydney CBD,Ramen,$$
Hakata-Maru Ramen,Sydney CBD,Ramen,$
Jimmy's Rooftop,Sydney CBD,Middle Eastern,$
Mikaiten,Sydney CBD,Japanese,$
Park Bong Sook,Sydney CBD,Korean,$
Mumu,Sydney CBD,South East Asian,$$
Umaya,Sydney CBD,Japanese,$$
Doodee King,Sydney CBD,Thai,$
Ippudo,Sydney CBD,Ramen,$$
Lee's Dumpling,Haymarket,Chinese,$
Xi'an Biang Biang,Haymarket,Xi'an Chinese,$
Gumshara Ramen,Haymarket,Ramen,$
Hansang,Haymarket,Korean,$$
Wingboy,Haymarket,Chicken wings,$
Kwang Jang Pocha,Haymarket,Korean,$$
789 Korean BBQ,Haymarket,Korean BBQ,$$
Kajiken Abura Soba,Haymarket,Japanese,$
Dopa,Haymarket,Japanese,$
Belles Hot Chicken,Circular Quay,Hot chicken,$$
Bar Luca,Circular Quay,Burgers,$$
Belles Hot Chicken,Barangaroo,Hot chicken,$$
Fried Brothers,The Rocks,Fried chicken,$
Bella Brutta,Newtown,Pizza,$$
Westwood,Newtown,Pizza,$$
Gigi Pizzeria,Newtown,Pizza,$$
Kim's Bop,Glebe,Korean,$
Taco Street,North Strathfield,Mexican,$
Totti's Rozelle,Rozelle,Italian,$$$
Raineri's Continental Deli,Five Dock,Italian,$
Rashays,Rhodes,Casual dining,$$
Wonton Warrior,Burwood,Chinese,$
Yang's Dumplings,Burwood,Shanghainese,$
Mr Stonebowl,Burwood,Chinese,$
Hong Kong Bing Sutt,Burwood,Hong Kong,$
Chubby Buns,Greystanes,Burgers,$
Henrietta,Parramatta,Lebanese,$$
Holy Basil,Parramatta,Thai & Lao,$$
The Meat & Wine Co,Parramatta,Steakhouse,$$$
Frankie B's,Parramatta,Italian,$$
PappaRich,Parramatta,Malaysian,$
Mr Stonebowl,Parramatta,Chinese,$
Mamak,Parramatta,Malaysian,$
Thai Riffic on Street,Parramatta,Thai,$
Lilymu,Parramatta,Pan-Asian,$$$
Ruse Bar & Brasserie,Parramatta,Modern Australian,$$$
The Zungle,Parramatta,Korean BBQ,$$
Bocca by Frankie B's,Parramatta,Italian,$$
Chatkazz,Harris Park,Indian,$
Pho Ann,Cabramatta,Vietnamese,$
Tan Viet Noodle House,Cabramatta,Vietnamese,$
Da Tang Noodles,Chatswood,Chinese,$
Mama Mulan,Chatswood,Chinese,$$
Chatswood Markets (Thu–Sat),Chatswood,Street food,$
Omi,Chatswood,Japanese,$$
My Aunt's Handmade Noodles,Eastwood,Northern Chinese,$
Taste of Shanghai,Eastwood,Shanghainese,$
The Taste of Ordinary Life,Eastwood,Chinese,$
Mr Stonepot,Eastwood,Chinese,$
Jin's Grilled Meat Pie,Eastwood,Chinese,$
Fujian Shaxian Snacks,Eastwood,Fujian Chinese,$
Sea Bay Hand-Made Noodle,Eastwood,Northwest Chinese,$
888 Gogi Korean BBQ,Eastwood,Korean BBQ,$$
Super Nash Brothers,Willoughby,Hot chicken,$
